BEGIN_DATE,END_DATE,NUM_NODES,ATTACK_RATIO,ATTACK_START_TIME,ATTACK_DURATION,ATTACK_PARAMETER,NODE,LAT,LNG,TIME,TIME_FEATURE,ACTIVE,PACKET,ATTACKED,PACKET_160,NODE_160,PACKET_159,NODE_159,PACKET_166,NODE_166,PACKET_157,NODE_157,PACKET_187,NODE_187,PACKET_198,NODE_198,PACKET_108,NODE_108,PACKET_109,NODE_109,PACKET_110,NODE_110,PACKET_111,NODE_111,PACKET_112,NODE_112,PACKET_113,NODE_113,PACKET_114,NODE_114,PACKET_115,NODE_115,PACKET_116,NODE_116,PACKET_117,NODE_117,PACKET_118,NODE_118,PACKET_119,NODE_119,PACKET_120,NODE_120,PACKET_121,NODE_121,PACKET_122,NODE_122,PACKET_123,NODE_123,PACKET_124,NODE_124,PACKET_125,NODE_125,PACKET_126,NODE_126,PACKET_127,NODE_127,PACKET_129,NODE_129,PACKET_130,NODE_130,PACKET_131,NODE_131,PACKET_132,NODE_132,PACKET_133,NODE_133,PACKET_134,NODE_134,PACKET_135,NODE_135,PACKET_136,NODE_136,PACKET_137,NODE_137,PACKET_138,NODE_138,PACKET_139,NODE_139,PACKET_140,NODE_140,PACKET_141,NODE_141,PACKET_142,NODE_142,PACKET_143,NODE_143,PACKET_144,NODE_144,PACKET_145,NODE_145,PACKET_146,NODE_146,PACKET_147,NODE_147,PACKET_148,NODE_148,PACKET_149,NODE_149,PACKET_150,NODE_150,PACKET_151,NODE_151,PACKET_152,NODE_152
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:09:26.507200,8,True,399,False,209,0,216,0,192,0,282,0,0,0,202,0,285,0,335,0,371,0,283,0,299,0,288,0,371,0,278,0,383,0,286,0,285,0,335,0,288,0,198,0,372,0,285,0,332,0,358,0,0,0,286,0,257,0,376,0,285,0,281,0,385,0,285,0,373,0,278,0,332,0,332,0,285,0,399,1,285,0,291,0,296,0,380,0,368,0,290,0,285,0,375,0,332,0,285,0,289,0,288,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:09:31.515192,8,False,501,False,209,0,208,0,285,0,260,0,243,0,244,0,395,0,326,0,298,0,418,0,301,0,302,0,301,0,299,0,336,0,304,0,301,0,390,0,408,0,212,0,318,0,298,0,398,0,340,0,0,0,297,0,312,0,345,0,302,0,401,0,343,0,307,0,479,0,312,0,396,0,388,0,392,0,501,1,300,0,300,0,396,0,377,0,400,0,302,0,300,0,377,0,383,0,381,0,300,0,303,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:09:36.585093,8,False,400,False,179,0,195,0,203,0,288,0,285,0,269,0,291,0,273,0,289,0,265,0,274,0,288,0,278,0,290,0,374,0,286,0,383,0,334,0,278,0,287,0,352,0,291,0,368,0,376,0,0,0,289,0,276,0,291,0,288,0,451,0,361,0,273,0,335,0,292,0,334,0,336,0,290,0,400,1,287,0,287,0,274,0,277,0,410,0,276,0,457,0,332,0,375,0,300,0,382,0,379,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:09:41.618160,8,False,304,False,207,0,206,0,218,0,311,0,376,0,271,0,278,0,281,0,287,0,278,0,305,0,298,0,291,0,278,0,368,0,278,0,278,0,322,0,276,0,283,0,364,0,276,0,321,0,459,0,0,0,273,0,278,0,278,0,278,0,315,0,343,0,278,0,368,0,277,0,369,0,372,0,278,0,304,1,438,0,359,0,335,0,278,0,365,0,280,0,278,0,363,0,321,0,277,0,277,0,271,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:09:46.644890,8,False,338,False,196,0,127,0,209,0,210,0,233,0,204,0,308,0,396,0,312,0,308,0,292,0,320,0,310,0,308,0,353,0,310,0,396,0,309,0,309,0,356,0,445,0,402,0,393,0,350,0,0,0,399,0,308,0,402,0,306,0,307,0,480,0,402,0,393,0,306,0,396,0,306,0,308,0,338,1,308,0,400,0,330,0,306,0,395,0,334,0,307,0,363,0,392,0,307,0,309,0,308,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:09:51.690006,9,False,317,False,212,0,220,0,205,0,263,0,295,0,209,0,300,0,385,0,297,0,300,0,307,0,361,0,298,0,387,0,296,0,393,0,383,0,469,0,387,0,299,0,390,0,304,0,481,0,386,0,0,0,299,0,300,0,292,0,299,0,395,0,402,0,299,0,344,0,299,0,343,0,300,0,299,0,317,1,299,0,384,0,350,0,391,0,343,0,369,0,389,0,301,0,443,0,370,0,299,0,301,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:09:56.703466,9,False,435,False,180,0,302,0,190,0,298,0,253,0,203,0,313,0,452,0,404,0,308,0,300,0,311,0,311,0,309,0,306,0,318,0,354,0,400,0,394,0,260,0,399,0,296,0,342,0,400,0,0,0,308,0,333,0,314,0,406,0,397,0,353,0,312,0,403,0,309,0,484,0,397,0,313,0,435,1,316,0,361,0,331,0,312,0,399,0,314,0,396,0,410,0,398,0,315,0,310,0,310,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:10:01.708927,9,True,443,False,295,0,273,0,207,0,310,0,242,0,216,0,312,0,393,0,315,0,306,0,316,0,312,0,401,0,324,0,400,0,306,0,374,0,352,0,442,0,224,0,347,0,302,0,307,0,359,0,0,0,303,0,401,0,370,0,321,0,369,0,404,0,305,0,495,0,308,0,401,0,396,0,306,0,443,1,311,0,393,0,315,0,307,0,359,0,315,0,447,0,298,0,395,0,310,0,305,0,313,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:10:06.740922,9,True,362,False,222,0,355,0,222,0,356,0,345,0,219,0,414,0,411,0,302,0,323,0,330,0,311,0,380,0,307,0,321,0,314,0,313,0,410,0,403,0,230,0,413,0,318,0,390,0,407,0,0,0,394,0,313,0,402,0,313,0,459,0,419,0,318,0,357,0,399,0,364,0,363,0,318,0,362,1,399,0,405,0,367,0,318,0,398,0,311,0,403,0,322,0,360,0,326,0,316,0,328,0
2023-08-30,2023-08-30,9,1,2023-08-30 20:51:13.530264,0:10:00,5,140,50.46388319,35.37576942,2023-08-30 21:10:11.754961,9,True,475,False,264,0,306,0,256,0,326,0,315,0,341,0,360,0,398,0,362,0,355,0,550,0,365,0,352,0,340,0,359,0,342,0,341,0,453,0,429,0,324,0,370,0,339,0,348,0,376,0,0,0,339,0,361,0,395,0,362,0,351,0,428,0,345,0,445,0,349,0,443,0,413,0,344,0,475,1,438,0,474,0,569,0,350,0,439,0,374,0,398,0,409,0,436,0,515,0,441,0,450,0
